1|Black Russian||* 50ml (5 parts) Vodka * 20ml (2 parts) Coffee liqueur|Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.|on the rocks||Black Russian|-20|10|1|37
95|Rev-Bomb||||||Rev (drink)||||
96|Nikolaschka|One should eat the lemon with the coffee and sugar mixture and then enjoy the drink.|* Cognac * Coffee powder * Powdered sugar * Lemon disk, peeled|Pour cognac into brandy snifter, place lemon disk across the top of the glass and top with sugar and coffee.|straight||Nikolaschka||||
97|Bijou Cocktail||* 3 parts gin *1 part green Chartreuse *1 part sweet vermouth *Dash orange bitters|Stir in mixing glass with ice and strain|straight|cherry|Bijou (cocktail)||||
98|Golden Elk||*2 parts Jägermeister * 1 part Goldschläger||||Golden Elk||||
99|Jack and Coke||*1 part Jack Daniel's Tennessee Whiskey *3 parts Coca-Cola *Ice|Pour Jack Daniel's into Collins glass filled with ice. Fill to desired level with Coca-Cola. Stir lightly.|on the rocks||Jack and Coke||||
100|Brandy Daisy||*1½ ounces brandy or Cognac *¾ ounce yellow Chartreuse *¾ ounce lemon juice|Stir well with cracked ice in a cocktail shaker, then strain into a chilled Collins glass and top with a splash of chilled club soda or seltzer.|on the rocks||Brandy Daisy||||
101|Fizz||||||Fizz (cocktail)||||
102|Planter's Punch||*6cl (6 parts) dark rum *3cl (3 parts) fresh lemon juice *1cl (one part) grenadine syrup *Soda water as necessary|Mix in shaker with ice. Pour into glass and top up with soda water. Garnish and serve.|on the rocks|lemon and orange slices|Classic cocktail||||
103|Caipirinha|A wide variety of fresh fruits can be used in place of lime. In the absence of cachaça, vodka can be used, making a caipiroska.|* 50 ml (1⅔ fl oz) cachaça * ½ Lime cut into 4 wedges (or tahiti lime, but '''not''' green lemon) * 2 teaspoons crystal or refined sugar|Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.|on the rocks|lime|Cocktails with cachaça||||
104|B and B||* 1 part cognac * 1 part Bénédictine|Combine and stir.|with or without ice||List of duo and trio cocktails||||
105|Screwdriver||*50 ml (1 part) vodka *100 ml (2 parts) orange juice|Mix in a highball glass with ice. Garnish and serve.|on the rocks|orange slice|Hi-Fi (cocktail)||||
106|Bacardi cocktail||*45ml (9 parts) Bacardi white rum *20ml (4 parts) lemon or lime juice *5ml (1 part) grenadine syrup|Shake together in a mixer with ice. Strain into glass and serve|straight up|lime|Bacardi cocktail||||
107|Paradise||*35ml (7 parts) gin *20ml (4 parts) apricot brandy *15ml (3 parts) orange juice|Shake together over ice. Strain into cocktail glass and serve chilled.|straight||Paradise (cocktail)||||
108|Rose||*45ml (9 parts) dry vermouth *15ml (3 parts) Kirsch *10ml (2 parts) cherry brandy|Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.|straight|Maraschino cherry|Rose (cocktail)||||
109|Golden Dream|Should be quite fluffy|*20ml (2 parts) Galliano * 20ml (2 parts) Cointreau * 20ml (2 parts) Fresh orange juice * 10ml (1 part) Fresh cream|Shake together in a mixer with cracked ice. Strain into glass and serve.|shaken|wedge of orange and a cocktail umbrella|Golden dream (cocktail)||||
110|Japanese Slipper||*30 ml (1 part) Midori *30 ml (1 part) cointreau *30 ml (1 part) lemon juice|Shake together in a mixer with ice. Strain into glass, garnish and serve.|straight|Honeydew melon slice|Japanese slipper||||
111|Kamikaze||*30ml (1 part) vodka *30ml (1 part) triple sec *30ml (1 part) lime juice|Shake all ingredients together in a mixer with ice. Strain into glass, garnish and serve.|straight|Lime slice|Kamikaze (cocktail)||||
112|Orgasm||*30ml Cointreau *30ml Baileys Irish Cream *20ml Grand Marnier|Build all ingredients over ice in an old fashioned glass or shot glass. Garnish with cherry.|on the rocks|cherry|Orgasm (cocktail)||||
113|Porto Flip||*15ml (3 parts) brandy *40ml (8 parts) port *10ml (2 parts) egg yolk|Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve|straight|Grated nutmeg|Porto flip||||
114|Pegu Club||*1 1/2 ounces gin *3/4 ounce orange cointreau *1 teaspoon lime juice *Dash bitters *Dash orange bitters|Shake ingredients together in a mixer with crushed ice. Strain into chilled glass, garnish and serve.|shaken|lime twist|Pegu Club (cocktail)||||
115|Champagne cocktail||*1 sugar cube *2-3 dashes Angostura bitters *30ml Brandy *Champagne|Place the sugar cube at the bottom of the flute and add Angostura bitters until it dissolves. Add the brandy, then fill with the champagne. Garnish with the orange slice and maraschino cherry.|straight|Orange slice and maraschino cherry|Champagne cocktail||||
116|Staten Island Ferry||*One part Malibu Rum *One part pineapple juice|Stir together and serve over ice.|on the rocks||Staten Island Ferry (cocktail)||||
117|Macuá||*2 parts white rum (preferably Flor de Caña) * 2 parts guava juice * 1 part lemon juice * sugar to taste|Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice|On the rocks|lemon slice|Macuá||||
118|Alexander||*1 oz gin *1 oz white crème de cacao *1 oz light cream|Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.|blended (no ice), then on the rocks|nutmeg|Alexander (cocktail)||||
119|Dark 'N Stormy|Lime optional.|*50 mL of Gosling's Black Seal rum *150 mL Ginger beer *1:3 ratio *1 slice of lime|Pour the ginger beer into a glass over ice. Top off with black rum. Squeeze in the lime wedge and drop it in.|on the rocks||Dark 'N' Stormy||||
120|Blue Lagoon||*1 part Vodka *1 part Blue Curacao *4 parts Lemonade|pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.|on the rocks|lemon slice|Blue Lagoon (cocktail)||||
121|Spritz||*3cl (one part) Prosecco *3cl (one part) bitters (Campari, Aperol, Cynar, Gran Classico ''etc.'') *3cl (one part) carbonated water|Stir into glass over ice, garnish and serve.|on the rocks|Orange Wedge  Olive|Spritz (alcoholic beverage)||||
122|Jägerbomb||||||Jägerbomb||||
123|Sex on the Beach||* 2 parts (40ml) Vodka * 1 parts (20ml) Peach schnapps * 2 parts (40ml) Orange juice * 2 parts (40ml) Cranberry juice|Build all ingredients in a highball glass filled with ice. Garnish with orange slice.|on the rocks|orange slice|Sex on the Beach||||
124|Pink Lady||*1.5 oz. gin *4 dashes grenadine *1 egg white|Shake ingredients very well with ice and strain into cocktail glass. Garnish with a cherry.|1|cherry|Pink lady (cocktail)||||
125|Orange Whip||*4oz (four parts) orange juice *1oz (one part) rum *1oz (one part) vodka *2oz (two parts) cream|Blend briefly with hand blender. Pour ingredients over ice and stir.|blended (no ice), then on the rocks|None|Orange Whip||||
126|Redheaded slut|may also be served as a shooter -- chilled and shaken, without ice|*5 cl (one part) Jägermeister *5 cl (one part) peach schnapps *cranberry juice|Combine Jägermeister and schnapps in glass full of ice. Add cranberry juice to fill to top. Stir as necessary.|on the rocks||Redheaded slut||||
127|Gin Bucket||*One or Two handles Gin *4 l Fresca, Sprite or 7-up *Fresh squeezed citrus fruit|Mix all in bucket, add ice|||Gin bucket||||
128|Cheeky Vimto||* 275ml blue WKD * 50ml port||neat or with ice||Cheeky Vimto||||
129|Blue Hawaii|For best results do not use bottled Sweet and Sour mix, but rather make your own at the bar with fresh citrus juice and simple syrup. This advice applies to any drink that calls for Sweet and Sour.|* 3/4 ounce light rum * 3/4 ounce vodka * 1/2 ounce Curaçao * 3 ounces pineapple juice, unsweetened * 1 ounce Sweet and Sour|Combine all ingredients with ice, stir or shake, then pour into a hurricane glass with the ice. For garnish score pineapple or orange slice with a knife and inert onto rim of glass; optionally use toothpick or cocktail umbrella to spear maraschino cherry through center and attach to top of fruit slice; otherwise float cherry on top of ice.|on the rocks|pineapple or orange quarter slice, maraschino cherry|Blue Hawaii (drink)||||
130|Harrogate Nights||2.5cl (1 part) Vodka 1.25cl (1/2 part) Archers (Peach Schnapps) 1.25cl (1/2 part) Malibu 2.5cl (1 part) Fresh Orange Juice 2.5cl (1 part) Fresh Pineapple Juice dash of Fresh Cranberry Juice|Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.|on the rocks|orange slice|Harrogate Nights||||
131|Fizzy Apple Cocktail||*1 shot Apple Vodka *1/2 cup Apple Juice *1/2 cup Lemonade|Combine all three ingredients into a chilled glass and serve with ice and garnish.|chilled|apple slice| lemon||||
132|Brandy Sour||*5 cl (two parts) Cyprus brandy *2.5 cl (one part) lemon squash *2-4 drops of bitters *Top with carbonated water|Stir into glass over ice, garnish and serve.|on the rocks||Brandy Sour (Cyprus)||||
133|Sea breeze||*40 ml Vodka *120 ml Cranberry juice *30 ml Grapefruit juice|Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.|on the rocks|lime slice|Sea Breeze (cocktail)||||
134|Sin slammer||soda water, gomme syrup||||Sin slammer||||
135|Seven and Seven||*1 shot Seagram's Seven Crown whiskey *6 fl. oz. 7 Up *Ice|Pour whiskey into Collins glass filled with ice. Fill to desired level with 7 Up. Stir lightly.|on the rocks||7 and 7||||
136|Lemon, Lime & Bitters||*Lemonade *Lime juice cordial (aka sweetened lime juice) *Bitters|Rim the inside of the glass with 4 to 5 dashes of bitters then pour lemonade and lime juice (15-30 mL) into glass. Garnish if desired.|Straight up or with ice|Slice of lemon or lime|Lemon, Lime and Bitters||||
137|Slippery Nipple||*(1 part) Sambuca * (1 part) Baileys Irish Cream|Pour the Sambuca into a shot glass, then pour the Baileys on top so that the two liquids do not mix.|neat|Cherry (optional)|Slippery nipple||||
138|Chimayó Cocktail||* 1½ oz Tequila * 1 oz apple cider * 1/4 oz lemon juice * 1/4 oz creme de cassis|Pour the tequila and unfiltered apple cider into glass over ice. Add the lemon juice and creme de cassis and stir. Garnish and serve.|on the rocks|slice of unpeeled apple|Chimayó Cocktail||||
139|Cape Cod||* Vodka * Cranberry juice|Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.|on the rocks|lime slice|Cape Codder (cocktail)||||
140|Flaming Volcano|This is a multi-user group drink that should be served with very long (15-20") colored straws!|* 1 ounce light rum * {{convert~1~USoz~ml~-1}} brandy * {{convert~1~USoz~ml~-1}} overproof rum (e.g., Bacardi 151) * {{convert~4~USoz~ml~-1}} orange juice * {{convert~2~USoz~ml~-1}} lemon juice, unsweetened * {{convert~2~USoz~ml~-1}} almond flavored syrup|Combine all ingredients with 2 scoops of crushed ice in a blender, blend briefly, then pour into the "volcano bowl". Pour some rum into the central crater of the volcano bowl and light it. For garnish score pineapple or orange slices with a knife and insert onto rim of bowl; optionally add maraschino cherries to the main drink. Multiply recipe to adjust to the size of the container (e.g. x2 for a {{convert~32~USoz~ml~adj=on}} volcano bowl).|blended|pineapple and/or orange quarter slices, maraschino cherries|Flaming volcano||||
141|Ginza Mary|add freshly ground Black Pepper to taste.|* 2 Oz. (4 parts) Vodka * 1 {{frac~1~2}} Oz. (3 parts) Sake * 2 Oz. (4 parts) Tomato Juice * {{frac~1~2}} Oz. (1 part) Lemon Juice * 3-5 Dashes Tabasco Sauce * 2 Dashes Soy Sauce|Combine ingredients and cracked ice, mix, pour into chilled Old Fashioned Glass|straight||Ginza Mary||||
142|Osaka Dry|Garnish with pickled plum.|* 6 parts Vodka * 1 part Sake * Pickled Plum|Combine ingredients (except plum) and cracked ice in cocktail shaker, strain, pour into chilled Cocktail Glass.|straight||Osaka Dry||||
143|Golden Russian||* Vodka * Galliano * lime juice|Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.|on the rocks||Golden russian||||
144|Bananarita|Rubbing the rim of the glass with the lime slice to make the salt stick to it.|*For a 12oz. Highball glass *6oz. of ice *Tequila *1.5-2oz. 99 Bananas liquor *3-4oz. Margarita mix (lime flavor preferred)|Fill the glass halfway (6oz.) with ice. Pour the tequila to the rim of the ice. Add the 99 Bananas liquor as well as the margarita mix||on the rocks|salt rimmed glass, lime slice||||
145|Planter's Punch||* 4.5cl Dark rum * 3.5cl Fresh orange juice * 3.5cl Fresh pineapple juice * 2cl Fresh lemon juice * 1cl Grenadine syrup * 1cl Sugar syrup * 3 or 4 dashes Angostura bitters|Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, "on top". Garnish with cocktail cherry and pineapple.|||Planter's Punch||||
146|Bermuda Rum Swizzle||*4oz. Gosling's Black Seal Rum *4oz. Gosling's Barbados Rum *Juice of 2 lemons *5oz. pineapple juice *5oz orange juice *2oz. Bermuda falernum *6 dashes Angostura Bitters|Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.|on the rocks||Rum Swizzle||||
147|Cojito||*15ml of white rum *5ml Malibu *5ml lime juice *Mint leaves *1 sprig of mint|In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.|straight up in a cocktail glass|Trimmed coconut and mint leaf|Cojito||||
148|Old Etonian||*1.5 oz. gin *1.5 oz. Kina Lillet or Cocchi Americano *2 dashes Orange bitters *2 dashes Crème de Noyaux|Shake with ice and strain into a stemmed cocktail glass.|chilled and strained|orange peel|Old Etonian (cocktail)||||
149|Matador|Sour mix may be used in place of lime juice, depending on preference and availability. Champagne flutes are also commonly used for serving.|*1 to 1.5 parts silver or blanco tequila *2 to 3 parts pineapple juice *Juice of half a lime|Mix the ingredients in a shaker half full of ice. Strain and serve in a chilled cocktail glass or champagne flute.|shaken|lime slice or twist|Matador (cocktail)||||
150|Sweet Melissa||Gin and tonic water, splash of Jack Daniel's to taste|In a glass filled with ice, add gin and fill with tonic. Add splash of Jack. Lime wedge optional|on the rocks|Lime|Sweet Melissa||||
151|Woo Woo||* 2 parts (1 oz) Vodka * 1 part (.5 oz) Peach Schnapps * 4 parts (2 oz) Cranberry juice|Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.|on the rocks|Lime Wedge|Woo Woo||||
152|Bloody Mary||*45ml (3 parts) Vodka * 90ml (6 parts) Tomato juice * 15ml (1 part) Lemon juice|Add dashes of Worcestershire Sauce, Tabasco, salt and pepper into highball glass, then pour all ingredients into highball with ice cubes. Stir gently. Garnish with celery stalk and lemon wedge (optional).|on the rocks|Celery stalk or dill pickle spear|Bloody Mary (cocktail)||||
153|Stengah||Whisky, Soda Water, Ice.|Build over ice||on the rocks|||||
154|Corn N' Oil||*60mL of (Cruzan) blackstrap rum *10mL of Falernum|Pour the rum and falernum into a glass over ice and stir well. Squeeze in the lime wedge(s) and drop it in.|on the rocks|lime wedge or two|Corn N' Oil||||
155|Quick Fuck||*one part Midori liqueur *one part Kahlua *one part Baileys Irish Cream|*Pour Midori into shot glass. *Carefully add Baileys, letting it float on top.|straight-up or upside down||Quick Fuck||||
156|Chocolate Cake||one-half shot of vodka, one-half shot of Frangelico|Stir the liquors in a shot glass. Consume the shot, then bite and suck on the lemon wedge.|neat/shaken and lose strained|lemon wedge sprinkled with white/ brown sugar|Chocolate Cake (cocktail)||||
157|The Last Word||* One part gin * One part lime juice * One part green Chartreuse * One part maraschino liqueur|Shake with ice and strain into a cocktail glass.|straight||The Last Word (cocktail)||||
158|Mitch Morgan||*5cl Bourbon *strip of bacon (garnish)||straight|bacon|Mitch Morgan||||
159|Bacon Martini||*5cl bacon vodka *strip of bacon, olive (garnish)||straight|bacon, olive|Bacon martini||||
160|Aviation||* 60ml (2 oz.) gin * 15ml (1/2 oz.) lemon juice * 15ml (1/2 oz.) maraschino liqueur * 7.5ml (1/4 oz.) crème de violette|Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.|straight|cherry|Aviation (cocktail)||||
161|Sundowner||||||Sundowner (drink)||||
162|Whynatte Bomb||||||Whynatte Bomb||||
163|Govana Libre||* 2 parts Dark Rum * 1 parts Lime Juice * 1 part Lemonade * 1 part Sugar Cane Syrup * 1 part Grenadine|Shake ingredients together with ice, and strain into a cocktail glass over crushed ice, top with lemonade, grenadine and a lime garnish.||Lime and Mint|Govana Libre||||
164|Blow Job||* 1/2 oz. Bailey's *1/2 oz. Kahlúa * whipped cream top|Pour 1/2 oz Bailey's and 1/2 oz Kahlúa in shot glass and top with whipped cream. Serve.|||Blow Job (cocktail)||||
165|Chicago Cocktail||*Brandy * Triple sec * Bitters * Champagne (optional)|Shake or stir with ice.|on the rocks|Lemon slice|Chicago Cocktail||||
166|Bloodhound||* 2 parts gin * 1 part dry vermouth * 1 part sweet vermouth *strawberry coulis/crushed strawberries|Shake alcoholic ingredients and serve over crushed ice with strawberry coulis and strawberries garnish|ice|Strawberries (normally 3)|Bloodhound (cocktail)||||
167|Tschunk||*4-6 cl golden rum or dark rum *limes *Club-Mate *(if desired): brown sugar *ice|Dice limes, put them together with the brown sugar into a high glass and crush both. Add crushed ice and pour the rum and the mate over it. Add a straw|||Tschunk||||
168|Clover Club Cocktail||*1½ Oz. Gin *3/4 Oz. Lemon Juice *1/4 Oz. Raspberry Syrup (or Grenadine) *1 Egg White|Dry shake ingredients to emulsify, add ice, shake and served straight up.|straight||Clover Club Cocktail||||
169|Paloma||* One part tequila * Three parts grapefruit soda|Stir together and serve over ice.|on the rocks|lime wedge|Paloma (cocktail)||||
170|Bourbon Triple Sour||bourbon whiskey, triple sec, sour mix, sugar syrup|||Lemon wedge|Triple Bourbon Sour||||
171|Springbokkie||* 1cl (1 part) Amarula * 3cl (3 parts) Creme de Menthe|The Creme de Menthe is poured into the shot glass and the Amarula is carefully layered on top.|neat||Springbokkie||||
172|Mate con malicia||* 70-80 °C hot water * Grape aguardiente * Yerba mate||straight||Mate con malicia||||
173|Agent Orange||*5 cl (1 part) vodka *15 cl (3 parts) carrot juice|Mix in an old fashioned glass with ice and serve.|on the rocks|none|Agent Orange (cocktail)||||
174|Rose Bennie||* 4.5 cl (3 parts) Vodka * 3.0 cl (2 parts) fresh lemonade * 1.5 cl (1 part) cranberry juice|Shake with ice. Strain into ice-filled old-fashioned glass to serve "on the rocks."|shaken|lemon rind|Rose Bennie||||
175|Mimosa||One part champagne, one part orange juice|Ensure both ingredients are well chilled, then mix into the glass. Serve cold.|stirred not shaken|grenadine, cherries, strawberries {{Citation needed~date=March 2008}}|Mimosa (cocktail)||||
176|Milky Pete||*5 cl (1 part) vodka *10 cl (2 parts) skimmed milk|Mix in a highball glass with ice. Garnish and serve.|on the rocks|none|Milky Pete||||
177|Raymond Massey||*2 oz Canadian rye whisky *½ oz Ginger syrup *5 oz Champagne|Shake whisky and syrup over ice. Strain into highball and top with champagne. Garnish with lemon peel.|on the rocks|Lemon peel|Raymond Massey (cocktail)||||
178|Blood and Sand|A variant is to combine all ingredients in a collins glass, add another splash of orange juice then flame the zest over it.|* 1 oz blended scotch * 1 oz blood orange juice * ¾ oz sweet vermouth * ¾ oz Cherry Heering|Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into Cocktail glass. Flame orange zest over the top of the glass.|straight|Maraschino cherry, Flamed orange zest|Blood and Sand (cocktail)||||
179|Farnell||*1 part Jack Daniel's Tennessee Whiskey *3 parts lemonade *Ice * 1 slice of lime * 1 sprig of fresh mint|Pour Jack Daniel's into Collins glass filled with ice. Fill to desired level with lemonade. Stir lightly and garnish with lime and mint.|on the rocks||Farnell (cocktail)||||
180|Skittle Bomb - Rétreau||* 1 shot Cointreau * 1/2 can Red Bull|The Cointreau is poured into a shot glass, and the shot glass is then dropped into the Red Bull.|||Skittle Bomb||||
181|Bourbon lancer||*9 parts Bourbon *16 parts Champagne *3 dashes Angostura bitters|Build over ice||on the rocks|Lemon peel||||
182|BLT||Bacon  Lettuce or Liquor  Tomato  Vodka or Bacon vodka||straight|Bacon salt|BLT cocktail||||
183|Seifu||* 1 part Vodka * 1 part Club soda * Splash of Grapefruit juice|TBC|in a glass|Lime|Seifu||||
184|Corpse Reviver||* 2 parts cognac * 1 part apple brandy or Calvados * 1 part sweet vermouth|Stir with ice, strain into a chilled cocktail glass.|straight||Corpse Reviver||||
185|Moon River||||in chilled cocktail glass|[cocktail cherry]|Moon River (gin cocktail)||||
186|Juliana||* (4 parts) Golden Cachaça * (3 parts) fresh Cashew juice * (1 part) Cointreau|Shake together in a mixer with ice. Strain into glass and serve immediately.|straight up||Juliana (drink)||||
187|Amber Moon|This cocktail may also be blended|* {{convert~3~USfloz}} whiskey or vodka * 1 raw egg * Tabasco sauce, to taste|Crack an egg into a tall glass, leaving the yolk unbroken. Pour in whiskey. Add Tabasco to taste, or serve on the side.|straight||Amber Moon||||
188|Old Pal||*One part Rye whiskey *One part dry Vermouth *One part Campari|Mix the 3 ingredients in a mixing glass, and add ice. Stir to chill, and strain into a cocktail glass|Stirred|Lemon twist|Old Pal (cocktail)||||
189|Rüdesheimer Kaffee||* 125 cl hot, black coffee * 3 cubes of sugar * 4 cl Asbach Uralt brandy, or cognac, or armagnac * Whipped cream sweetened with vanilla sugar * Dark chocolate shavings for sprinkling|Flambée brandy and sugar in Rüdesheimer cup to dissolve sugar. Add hot coffee and top with whipped cream||Hot|Chocolate flakes||||
190|Bushwacker|The Bushwacker is often made using many other types of liquors and spirits as there are dozens of variations on this cocktail, some of which include the addition of Bacardi Rum, Vodka, Amaretto, and Baileys Irish Cream, as well as using nutmeg as a garnish.|*1 ounce  Dark Rum *1 ounce Kahlúa *1 ounce  Dark Crème de Cacao *2 ounces  Cream of Coconut *2 ounces Milk *1 cup ice|Blend all the ingredients together in a blender, including the ice, and then strain into a hurrican glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.|straight up|Maraschino Cherry|Bushwacker (cocktail)||||
191|Boulevardier (cocktail)||*30ml (1 part) rye whisky *30ml (1 part) sweet red vermouth *30ml (1 part) campari|Stir with ice, strain, garnish and serve.|on the rocks|orange peel or Cherry|Boulevardier (cocktail)||||
192|Licorice stick|Garnish with a piece of black licorice.|*120 mL Cola *50 mL Anisette or *50 mL Absinthe|Build all ingredients in a highball glass filled with ice. Garnish with a piece of black licorice.|on the rocks|long piece of black licorice.|Liquorice stick (cocktail)||||
193|Brown Bomber||*1/2 oz peanut liqueur *1/2 oz white creme de cacao *2 oz light cream|Shake all ingredients with ice, strain into a cocktail glass, and serve.|straight|none|Brown Bomber (cocktail)||||
